Tweet Time Shift,Tweet Category,Twitter User Duration,Verified User,User Tweet Count,User Followers,Friends Count,User Listed,Tweet Word Count,Sentiment Score,Parent Tweet Count,Hash Tags Count,Mentions Count,Media Count,Retweets,Likes
1,4,399,0,21886,858,1483,18,45,-1,1,0,1,0,0,0
1,4,4799,0,428930,44008,45661,1597,35,0.333,0,2,0,1,0,0
1,4,569,0,14,13,31,0,25,0.333,1,0,1,0,9040,0
1,4,1800,0,1048,340,105,0,24,1,1,0,2,0,272,0
1,4,2255,0,10360,159,536,1,14,1,1,0,1,0,0,0
1,4,2436,0,40678,773,846,0,8,0,1,0,1,1,75,0
1,4,4986,0,129300,1099,983,22,23,1,1,0,1,0,3,0
1,4,20,0,69,82,24,0,24,0,1,0,1,0,1,0
1,4,2246,0,33801,166,684,3,20,1,1,0,2,0,7,0
1,4,1655,0,11327,60,2769,3,21,0,1,2,1,0,1,0
1,4,4986,0,359,101,425,0,48,0,0,0,1,0,0,0
1,4,3305,0,1937,113,399,3,22,-1,1,1,2,0,3,0
1,4,4821,0,14447,1275,4389,14,38,1,0,0,0,1,1,0
1,4,1064,0,2136,54,209,0,9,1,1,0,1,1,81,0
1,4,1537,0,36025,202,501,0,24,1,1,0,1,0,76,0
1,4,2970,0,58290,7820,6083,15,12,0,0,1,0,1,0,0
1,4,1410,0,765,35,560,1,24,1,1,0,2,0,272,0
1,4,3941,0,7062,1854,2464,1,22,0,1,0,1,0,1596,0
1,4,20,0,302,1,17,0,44,-0.333,0,0,0,0,0,0
1,4,3946,0,84125,137,443,1,24,1,1,0,1,0,25,0
1,4,3379,0,82030,7068,7031,15,13,0,1,0,2,0,0,0
1,4,78,0,128,5,9,0,17,0,0,0,0,0,0,0
1,4,5105,0,37271,2633,555,69,17,0,1,0,1,0,0,0
1,4,4927,0,45634,406,1603,3,25,0.333,1,0,1,0,9040,0
1,4,658,0,164775,113,908,8,25,0.333,1,0,1,0,9040,0
1,4,612,0,26600,214,892,0,22,1,1,0,1,0,2,0
1,4,4885,0,7000,390,4976,0,24,1,1,0,2,0,272,0
1,4,4947,0,155006,3001,4979,335,24,1,1,0,2,0,272,0
1,4,4484,0,10042,448,2351,6,8,0,1,0,1,1,1,0
1,4,4572,0,132347,686,675,31,54,0.429,0,0,1,1,0,3
1,4,3637,0,39508,1372,4998,59,22,-1,1,0,1,0,6,0
1,4,1998,0,1240,229,789,0,27,0,0,2,0,1,1,1
1,4,4657,0,18016,30,568,0,25,0.333,1,0,1,0,9040,0
1,4,0,0,1,0,1,0,14,-1,0,0,0,0,0,0
1,4,4825,0,88874,1119,719,15,25,0.333,1,0,1,0,9040,0
1,4,4501,0,330274,1012,1498,256,16,-1,0,4,0,0,0,0
1,4,4816,0,134345,1943,5000,54,30,1,1,0,2,0,0,0
1,4,3894,0,38827,1145,994,3,22,0,0,0,0,0,0,0
1,4,4545,0,198808,1329,1439,2,22,1,1,0,1,0,37,0
1,4,23,0,317,8,36,0,33,-1,1,0,2,0,0,0
1,4,986,0,18061,154,4999,3,24,1,1,0,2,0,272,0
1,4,1690,0,5849,95,256,0,14,1,1,0,1,0,0,2
1,4,3218,0,5643,286,1713,1,18,0,1,0,1,0,1,0
1,4,3011,0,8891,164,350,1,30,1,0,0,0,0,0,0
1,4,1690,0,5849,95,256,0,23,-1,0,0,0,0,0,3
1,4,953,0,21586,282,628,1,25,-1,1,0,1,0,39,0
1,4,4446,0,50858,631,1228,0,24,0,0,2,0,1,0,1
1,4,3174,0,63037,462,2896,0,25,0.333,1,0,1,0,9040,0
